id|species|mother_lower_case|father_lower_case|mother_orig_case|father_orig_case
508|S. gracilistyla Miq.|N/A|N/A|N/A|N/A
509|S.|N/A|N/A|N/A|N/A
510|S. ×argentinensis Ragonese & F.R.Alberti (S. babylonica L. × S. humboldtiana Willd.)|s. babylonica l.|s. humboldtiana willd.|S. babylonica L.|S. humboldtiana Willd.
511|S. ×argentinensis Ragonese & F.R.Alberti (S. babylonica L. × S. humboldtiana Willd.)|s. babylonica l.|s. humboldtiana willd.|S. babylonica L.|S. humboldtiana Willd.
512|S. ×argentinensis Ragonese & F.R.Alberti (S. babylonica L. × S. humboldtiana Willd.)|s. babylonica l.|s. humboldtiana willd.|S. babylonica L.|S. humboldtiana Willd.
513|S. ×argentinensis Ragonese & F.R.Alberti (S. babylonica L. × S. humboldtiana Willd.)|s. babylonica l.|s. humboldtiana willd.|S. babylonica L.|S. humboldtiana Willd.
514|S. ×argentinensis Ragonese & F.R.Alberti (S. babylonica L. × S. humboldtiana Willd.)|s. babylonica l.|s. humboldtiana willd.|S. babylonica L.|S. humboldtiana Willd.
515|S. caprea L.|N/A|N/A|N/A|N/A
516|S.|N/A|N/A|N/A|N/A
517|S.|N/A|N/A|N/A|N/A
518|S. repens L.|N/A|N/A|N/A|N/A
519|S. ×smithiana Willd. (S. cinerea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
520|S.|s. purpurea l. 95026|s. miyabeana seemen sx64|S. purpurea L. ‘95026’|S. miyabeana Seemen ‘SX64’
521|S. rosmarinifolia L.|N/A|N/A|N/A|N/A
522|S. alba L.|N/A|N/A|N/A|N/A
523|S. gmelinii Pall. (syn. S. dasyclados Wimm., S. burjatica Nasarow)|N/A|N/A|N/A|N/A
524|S.|N/A|N/A|N/A|N/A
525|S. ×grahamii Borrer ex Baker|N/A|N/A|N/A|N/A
526|S. glauca L.|N/A|N/A|N/A|N/A
527|S. acutifolia Willd.|N/A|N/A|N/A|N/A
528|S. triandra L.|N/A|N/A|N/A|N/A
529|S. alba L.|N/A|N/A|N/A|N/A
530|S.|N/A|N/A|N/A|N/A
531|S. lanata L.|N/A|N/A|N/A|N/A
532|S. gracilistyla Miq.|N/A|N/A|N/A|N/A
533|S. gracilistyla Miq.|N/A|N/A|N/A|N/A
534|S. viminalis L.|N/A|N/A|N/A|N/A
535|S. columbiana Argus|N/A|N/A|N/A|N/A
536|S. exigua Nutt.|N/A|N/A|N/A|N/A
537|S.|N/A|N/A|N/A|N/A
538|S. purpurea L.|N/A|N/A|N/A|N/A
539|S. purpurea L.|N/A|N/A|N/A|N/A
540|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
541|S. babylonica L.|N/A|N/A|N/A|N/A
542|S.|N/A|N/A|N/A|N/A
543|S. lasiandara Benth.|N/A|N/A|N/A|N/A
544|S. daphnoides Vill.|N/A|N/A|N/A|N/A
545|S. triandra L.|N/A|N/A|N/A|N/A
546|S. triandra L.|N/A|N/A|N/A|N/A
547|S. purpurea L.|N/A|N/A|N/A|N/A
548|S.|N/A|N/A|N/A|N/A
549|S.|N/A|N/A|N/A|N/A
550|S. repens L.|N/A|N/A|N/A|N/A
551|S. triandra L.|N/A|N/A|N/A|N/A
552|S. triandra L.|N/A|N/A|N/A|N/A
553|S. triandra L.|N/A|N/A|N/A|N/A
554|S. triandra L.|N/A|N/A|N/A|N/A
555|S.|s. sw 901321|s. sw 881128|S. ‘SW 901321’|S. ‘SW 881128’
556|S. purpurea L.|N/A|N/A|N/A|N/A
557|S. cinerea L.|N/A|N/A|N/A|N/A
558|S. triandra L.|N/A|N/A|N/A|N/A
559|S.|N/A|N/A|N/A|N/A
560|S. viminalis L.|N/A|N/A|N/A|N/A
561|S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|N/A|N/A|N/A|N/A
562|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
563|S. schwerinii E.L.Wolf|N/A|N/A|N/A|N/A
564|S. alba L.|N/A|N/A|N/A|N/A
565|S. alba L.|N/A|N/A|N/A|N/A
566|S. alba L.|N/A|N/A|N/A|N/A
567|S. alba L.|N/A|N/A|N/A|N/A
568|S. alba L.|N/A|N/A|N/A|N/A
569|S. helvetica Vill.|N/A|N/A|N/A|N/A
570|S. babylonica L.|N/A|N/A|N/A|N/A
571|S. purpurea L.|N/A|N/A|N/A|N/A
572|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
573|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
574|S. ×pendulina f. salamonii I.V. Belyaeva (S. babylonica L. × S. ×fragilis f. vitellina I.V. Belyaeva)|N/A|N/A|N/A|N/A
575|S. caprea L.|N/A|N/A|N/A|N/A
576|S. alba L.|N/A|N/A|N/A|N/A
577|S. purpurea L.|N/A|N/A|N/A|N/A
578|S. purpurea L.|N/A|N/A|N/A|N/A
579|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
580|S. alaxensis (Andersson) Coville|N/A|N/A|N/A|N/A
581|S. triandra L.|N/A|N/A|N/A|N/A
582|S. brachycarpa Nutt.|N/A|N/A|N/A|N/A
583|S.|s. bowles hybrid|s. björn|S. ‘Bowles Hybrid’|S. ‘Björn’
584|S. gmelinii Pall. (syn. S. dasyclados Wimm., S. burjatica Nasarow)|N/A|N/A|N/A|N/A
585|S. viminalis L.|N/A|N/A|N/A|N/A
586|S.|s. purpurea l. 94006|s. miyabeana seemen sx67|S. purpurea L. ‘94006’|S. miyabeana Seemen ‘SX67’
587|S.|s. purpurea l.|× s. miyabeana seemen|S. purpurea L.|× S. miyabeana Seemen
588|S.|N/A|N/A|N/A|N/A
589|S.|s. koryanagi kimura ex goerz sh3|s. purpurea l. 94002|S. koryanagi Kimura ex Goerz ‘SH3’|S. purpurea L. ‘94002’
590|S.|N/A|N/A|N/A|N/A
591|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
592|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
593|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
594|S. alba L.|N/A|N/A|N/A|N/A
595|S.|N/A|N/A|N/A|N/A
596|S. daphnoides Vill.|N/A|N/A|N/A|N/A
597|S.|s. l 78195|s. l 78101|S. ‘L 78195’|S. ‘L 78101’
598|S. glauca L.|N/A|N/A|N/A|N/A
599|S. gmelinii Pall. (syn. S. dasyclados Wimm., S. burjatica Nasarow)|s. gmelinii (as s. dasyclados) dasy 86|s. gmelinii (as s. dasyclados) dasy 89|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|S. gmelinii (as S. dasyclados) ‘Dasy 89‘
600|S.|s. viminalis l. sv2|s. miyabeana seemen sx64|S. viminalis L. ‘SV2’|S. miyabeana Seemen ‘SX64’
601|S. daphnoides Vill.|N/A|N/A|N/A|N/A
602|S.|s. viminalis l. sv7|s. miyabeana seemen sx64|S. viminalis L. ‘SV7’|S. miyabeana Seemen ‘SX64’
603|S. daphnoides Vill.|N/A|N/A|N/A|N/A
604|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
605|S. alba L.|N/A|N/A|N/A|N/A
606|S. lemmonii Bebb|N/A|N/A|N/A|N/A
607|S. ×pendulina f. salamonii I.V. Belyaeva (S. babylonica L. × S. ×fragilis f. vitellina I.V. Belyaeva)|s. alba l.|s. pendulina f. salamonii i.v.belyaeva|S. alba L.|S. pendulina f. salamonii I.V.Belyaeva
608|N/A|N/A|N/A|N/A|N/A
609|S. ×pendulina f. salamonii I.V. Belyaeva (S. babylonica L. × S. ×fragilis f. vitellina I.V. Belyaeva)|N/A|N/A|N/A|N/A
610|S. ×pendulina f. salamonii I.V. Belyaeva (S. babylonica L. × S. ×fragilis f. vitellina I.V. Belyaeva)|N/A|N/A|N/A|N/A
611|S. babylonica L.|N/A|N/A|N/A|N/A
612|S.|N/A|N/A|N/A|N/A
613|S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|N/A|N/A|N/A|N/A
614|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
615|S. ×meyeriana Rostk. ex Willd. (S. euxina I.V.Belyaeva × S. pentandra L.)|N/A|N/A|N/A|N/A
616|S.|N/A|N/A|N/A|N/A
617|S. babylonica L.|N/A|N/A|N/A|N/A
618|S. caprea L.|N/A|N/A|N/A|N/A
619|S. eriocephala Michx.|N/A|N/A|N/A|N/A
620|S. gilgiana Seemen|N/A|N/A|N/A|N/A
621|S. gracilistyla Miq.|N/A|N/A|N/A|N/A
622|S. integra Thunb.|N/A|N/A|N/A|N/A
623|S. miyabeana Seemen|N/A|N/A|N/A|N/A
624|S. pierotii Miq.|N/A|N/A|N/A|N/A
625|S. purpurea L.|N/A|N/A|N/A|N/A
626|S. reinii Franch. & Sav. ex Seemen|N/A|N/A|N/A|N/A
627|S. rorida Laksch.|N/A|N/A|N/A|N/A
628|S. acutifolia Willd.|N/A|N/A|N/A|N/A
629|S. daphnoides Vill.|N/A|N/A|N/A|N/A
