id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,Canker
159,9,9,9,12,8,3,5.9,2013,U07m,82XAA04,38,11%,0.019,0.021,0.19,NA,1,0
160,9,9,9,13,8,3,6.5,2013,U07m,81XAA04,37,17%,0.033,0.026,0.23,NA,2,0
161,9,9,9,14,8,3,5.7,2013,U07m,81XAA04,37,20%,0.03,0.02,0.177,NA,1,0
162,9,9,9,15,8,3,0,2013,U07m,81XAA04,37,NA,NA,0,0,NA,0,0
163,9,9,9,16,8,3,3.5,2013,U07m,81XAA04,37,0%,0,0.007,0.067,NA,1,0
164,9,9,9,17,8,6,6.1,2013,U07m,84XAA04,36,15%,0.026,0.023,0.203,NA,1,0
165,9,9,9,18,8,6,6.6,2013,U07m,84XAA04,36,13%,0.028,0.026,0.238,NA,1,0
166,9,9,9,19,8,6,0,2013,U07m,84XAA04,36,NA,NA,0,0,NA,0,0
167,9,9,9,20,8,6,4.5,2013,U07m,84XAA04,36,20%,0.019,0.012,0.11,NA,1,0
168,9,9,9,21,8,NA,3.1,2013,U07m,85XAA04,NA,0%,0,0.006,0.052,NA,1,0
169,9,9,9,1,9,2,0,2013,U07m,85XAA04,41,NA,NA,0,0,NA,0,0
170,9,9,9,2,9,2,0,2013,U07m,85XAA04,41,NA,NA,0,0,NA,0,0
171,9,9,9,3,9,2,0,2013,U07m,85XAA04,41,NA,NA,0,0,NA,0,0
172,9,9,9,4,9,2,0,2013,U07m,85XAA04,41,NA,NA,0,0,NA,0,0
173,9,9,9,5,9,2,8.6,2013,U07m,80XAA04,42,22%,0.072,0.045,0.403,NA,1,0
174,9,9,9,6,9,2,8.7,2013,U07m,80XAA04,42,21%,0.072,0.046,0.413,NA,1,0
175,9,9,9,7,9,2,7.5,2013,U07m,80XAA04,42,9%,0.024,0.034,0.307,NA,1,0
176,9,9,9,8,9,2,9.3,2013,U07m,80XAA04,42,15%,0.062,0.053,0.476,NA,2,0
177,9,9,9,9,9,3,5,2013,U07m,84XAA04,43,8%,0.01,0.015,0.136,NA,2,0
178,9,9,9,10,9,3,7.2,2013,U07m,84XAA04,43,23%,0.052,0.031,0.281,NA,2,0
179,9,9,9,11,9,3,3.4,2013,U07m,84XAA04,43,0%,0,0.007,0.063,NA,2,0
180,9,9,9,12,9,3,4,2013,U07m,84XAA04,43,5%,0.004,0.01,0.087,NA,1,0
